bhk,area,region,status,price_in_USD,house_type,new
3,1680,1,0,252000.0,0,0
3,1680,1,0,252000.0,0,0
2,1150,1,0,150000.0,0,0
2,1245,1,0,182400.0,0,0
2,1050,1,0,150000.0,0,0
1,690,1,0,93600.0,0,0
1,555,1,0,80400.0,0,0
2,950,1,0,150000.0,0,0
1,555,1,0,90000.0,0,0
1,555,1,0,86400.0,0,0
1,670,1,0,103200.0,0,0
2,950,1,0,144000.0,0,0
1,600,1,0,103200.0,0,0
1,550,1,0,74400.0,0,0
1,550,1,0,74400.0,0,0
2,850,1,0,132000.0,0,0
1,580,1,0,102000.0,0,0
1,555,1,0,102000.0,0,0
1,375,1,0,48000.0,2,0
2,950,1,0,186000.0,0,0
3,1500,1,0,300000.0,0,0
1,802,1,1,91200.0,0,1
2,1435,1,1,222000.0,0,1
3,1952,1,1,298800.00000000006,0,1
1,620,1,0,72000.0,0,0
1,550,1,0,78600.0,0,0
1,560,1,0,90000.0,0,0
2,950,1,0,120000.0,0,0
2,950,1,0,120000.0,0,0
1,555,1,0,90000.0,0,0
1,710,1,0,96000.0,0,0
2,550,1,0,93600.0,0,0
2,930,1,0,168000.0,0,0
2,995,1,0,156000.0,0,0
2,1180,1,0,162000.0,0,0
1,799,1,1,96000.0,0,0
1,802,1,1,91800.0,0,1
1,615,1,0,93600.0,0,0
1,678,1,0,90000.0,0,0
2,930,1,0,168000.0,0,0
2,995,1,0,156000.0,0,0
2,1180,1,0,162000.0,0,0
1,799,1,1,96000.0,0,0
1,802,1,1,91800.0,0,1
1,615,1,0,93600.0,0,0
2,550,1,0,93600.0,0,0
1,665,1,0,96000.0,0,0
2,950,1,0,126000.0,0,0
1,625,1,0,84000.0,0,0
1,665,1,0,96000.0,0,0
1,625,1,0,84000.0,0,0
2,675,1,0,93600.0,0,0
2,950,1,0,126000.0,0,0
2,950,1,0,132000.0,0,0
2,1100,1,0,216000.0,0,0
1,810,1,1,101880.0,0,0
2,950,1,0,198000.0,0,0
1,555,1,0,90000.0,0,0
3,1610,1,0,252000.0,0,1
1,790,1,1,96600.0,0,1
3,1800,1,0,252000.0,0,0
1,787,1,1,93600.0,0,1
2,1250,1,0,192000.0,0,0
2,900,1,0,156000.0,0,0
2,1165,1,0,144000.0,0,1
1,750,1,0,105600.0,2,1
2,950,1,0,150000.0,0,0
2,980,1,0,156000.0,0,0
2,1245,1,0,198000.0,0,0
2,950,1,0,132000.0,0,0
2,950,1,0,168000.0,0,0
2,950,1,0,206400.0,0,0
2,1050,1,0,204000.0,0,0
