bhk,area,region,status,price_in_USD,house_type,new
1,590,Airoli,1,87600.0,0,1
2,750,Airoli,1,162000.0,0,1
2,1200,Airoli,0,150000.0,0,0
2,950,Airoli,0,162000.0,0,0
2,1245,Airoli,0,164400.00000000003,0,0
1,650,Airoli,0,102000.0,0,0
2,1025,Airoli,0,120000.0,0,0
2,1040,Airoli,0,154800.0,0,0
2,1100,Airoli,0,174000.0,0,1
2,1180,Airoli,1,150000.0,0,1
1,795,Airoli,1,100800.0,0,1
1,555,Airoli,0,108000.0,0,0
3,1750,Airoli,0,330000.0,0,0
2,1100,Airoli,0,151200.0,0,0
2,1150,Airoli,0,134400.00000000003,0,0
1,550,Airoli,0,60000.0,0,0
2,800,Airoli,0,84000.0,0,0
1,500,Airoli,0,54000.0,0,0
1,675,Airoli,0,96000.0,0,0
2,1245,Airoli,0,176400.0,0,0
2,1245,Airoli,0,240000.0,0,0
2,1245,Airoli,0,180000.0,0,0
2,1050,Airoli,0,146400.0,0,0
3,1680,Airoli,0,252000.0,0,0
3,1680,Airoli,0,252000.0,0,0
2,1150,Airoli,0,150000.0,0,0
2,1245,Airoli,0,182400.0,0,0
2,1050,Airoli,0,150000.0,0,0
1,690,Airoli,0,93600.0,0,0
1,555,Airoli,0,80400.0,0,0
2,950,Airoli,0,150000.0,0,0
1,555,Airoli,0,90000.0,0,0
1,555,Airoli,0,86400.0,0,0
1,670,Airoli,0,103200.0,0,0
2,950,Airoli,0,144000.0,0,0
1,600,Airoli,0,103200.0,0,0
1,550,Airoli,0,74400.0,0,0
1,550,Airoli,0,74400.0,0,0
2,850,Airoli,0,132000.0,0,0
1,580,Airoli,0,102000.0,0,0
1,555,Airoli,0,102000.0,0,0
1,375,Airoli,0,48000.0,2,0
2,950,Airoli,0,186000.0,0,0
3,1500,Airoli,0,300000.0,0,0
1,802,Airoli,1,91200.0,0,1
2,1435,Airoli,1,222000.0,0,1
3,1952,Airoli,1,298800.00000000006,0,1
1,620,Airoli,0,72000.0,0,0
1,550,Airoli,0,78600.0,0,0
1,560,Airoli,0,90000.0,0,0
2,950,Airoli,0,120000.0,0,0
2,950,Airoli,0,120000.0,0,0
1,555,Airoli,0,90000.0,0,0
1,710,Airoli,0,96000.0,0,0
2,550,Airoli,0,93600.0,0,0
2,930,Airoli,0,168000.0,0,0
2,995,Airoli,0,156000.0,0,0
2,1180,Airoli,0,162000.0,0,0
1,799,Airoli,1,96000.0,0,0
1,802,Airoli,1,91800.0,0,1
1,615,Airoli,0,93600.0,0,0
1,678,Airoli,0,90000.0,0,0
2,930,Airoli,0,168000.0,0,0
2,995,Airoli,0,156000.0,0,0
2,1180,Airoli,0,162000.0,0,0
1,799,Airoli,1,96000.0,0,0
1,802,Airoli,1,91800.0,0,1
1,615,Airoli,0,93600.0,0,0
2,550,Airoli,0,93600.0,0,0
1,665,Airoli,0,96000.0,0,0
2,950,Airoli,0,126000.0,0,0
1,625,Airoli,0,84000.0,0,0
1,665,Airoli,0,96000.0,0,0
1,625,Airoli,0,84000.0,0,0
2,675,Airoli,0,93600.0,0,0
2,950,Airoli,0,126000.0,0,0
2,950,Airoli,0,132000.0,0,0
2,1100,Airoli,0,216000.0,0,0
1,810,Airoli,1,101880.0,0,0
2,950,Airoli,0,198000.0,0,0
1,555,Airoli,0,90000.0,0,0
3,1610,Airoli,0,252000.0,0,1
1,790,Airoli,1,96600.0,0,1
3,1800,Airoli,0,252000.0,0,0
1,787,Airoli,1,93600.0,0,1
2,1250,Airoli,0,192000.0,0,0
2,900,Airoli,0,156000.0,0,0
2,1165,Airoli,0,144000.0,0,1
1,750,Airoli,0,105600.0,2,1
2,950,Airoli,0,150000.0,0,0
2,980,Airoli,0,156000.0,0,0
2,1245,Airoli,0,198000.0,0,0
2,950,Airoli,0,132000.0,0,0
2,950,Airoli,0,168000.0,0,0
2,950,Airoli,0,206400.0,0,0
2,1050,Airoli,0,204000.0,0,0
2,950,Airoli,0,202800.0,0,0
2,950,Airoli,0,156000.0,0,0
1,550,Airoli,0,96000.0,0,0
1,620,Airoli,0,99600.0,0,0
1,555,Airoli,0,90000.0,0,0
1,550,Airoli,0,92400.0,0,0
1,520,Airoli,0,102000.0,0,0
1,615,Airoli,0,102000.0,0,0
1,715,Airoli,1,87600.0,0,1
1,600,Airoli,0,102000.0,0,0
2,1100,Airoli,0,156000.0,0,0
2,995,Airoli,0,144000.0,0,0
2,750,Airoli,0,102000.0,0,0
1,735,Airoli,1,87600.0,0,1
2,750,Airoli,0,162000.0,0,0
2,980,Airoli,0,120000.0,0,0
1,1000,Airoli,0,162000.0,0,0
1,650,Airoli,0,93600.0,0,0
3,1500,Airoli,0,336000.0,0,0
1,675,Airoli,0,117600.0,0,0
2,800,Airoli,0,120000.0,0,0
