bhk,type,locality,area,price,price_unit,region,status,age,price_in_USD
2,0,617,651,56.0,L,47,1,New,67200.0
1,0,4288,473,69.65,L,117,1,New,83580.00000000001
3,0,4288,946,1.38,Cr,117,1,New,165599.99999999997
3,0,4288,946,1.38,Cr,117,1,New,165599.99999999997
2,0,4288,667,94.99,L,117,1,New,113988.0
2,0,4288,667,94.99,L,117,1,New,113988.0
2,0,4288,682,97.14,L,117,1,New,116568.0
2,0,4288,682,97.14,L,117,1,New,116568.0
3,0,954,1133,4.79,Cr,141,1,New,574800.0
3,0,954,1133,4.79,Cr,141,1,New,574800.0
3,4,287,2187,1.49,Cr,28,1,New,178800.0
3,4,287,2187,1.49,Cr,28,1,New,178800.0
2,0,7647,579,1.81,Cr,154,1,New,217200.0
2,0,7647,579,1.81,Cr,154,1,New,217200.0
2,0,8319,486,36.0,L,15,0,New,43200.0
2,0,8319,486,36.0,L,15,0,New,43200.0
1,0,8319,361,28.0,L,15,0,New,33600.0
1,0,8319,361,28.0,L,15,0,New,33600.0
1,0,8319,377,28.2,L,15,0,New,33840.0
1,0,8319,377,28.2,L,15,0,New,33840.0
1,0,8319,382,28.61,L,15,0,New,34332.0
1,0,8319,382,28.61,L,15,0,New,34332.0
1,0,81,535,17.65,L,16,1,New,21179.999999999996
1,0,81,565,18.64,L,16,1,New,22368.0
1,3,81,380,13.68,L,16,1,New,16416.0
1,0,82,345,19.91,L,16,0,New,23892.0
1,0,82,352,20.5,L,16,0,New,24600.0
1,0,82,294,16.0,L,16,0,New,19200.0
1,0,82,366,21.28,L,16,0,New,25536.0
1,0,82,333,19.33,L,16,0,New,23195.999999999996
1,0,82,358,20.89,L,16,0,New,25068.0
1,0,82,372,21.67,L,16,0,New,26004.0
1,0,82,380,22.06,L,16,0,New,26472.0
1,0,9304,675,30.0,L,93,1,New,36000.0
1,0,9304,675,30.0,L,93,1,New,36000.0
2,0,9304,970,42.75,L,93,1,New,51300.0
2,0,9304,970,42.75,L,93,1,New,51300.0
1,0,9304,605,26.5,L,93,1,New,31800.0
1,0,9304,605,26.5,L,93,1,New,31800.0
1,0,9304,555,24.0,L,93,1,New,28800.0
1,0,9304,555,24.0,L,93,1,New,28800.0
1,0,9304,665,29.5,L,93,1,New,35400.0
1,0,9304,665,29.5,L,93,1,New,35400.0
1,0,9304,615,27.0,L,93,1,New,32400.0
1,0,9304,615,27.0,L,93,1,New,32400.0
2,0,9304,975,43.0,L,93,1,New,51600.0
2,0,9304,975,43.0,L,93,1,New,51600.0
1,0,9304,535,22.0,L,93,1,New,26400.0
1,0,9304,535,22.0,L,93,1,New,26400.0
1,0,9304,545,23.5,L,93,1,New,28200.0
1,0,9304,545,23.5,L,93,1,New,28200.0
2,0,9304,930,41.0,L,93,1,New,49200.0
2,0,9304,930,41.0,L,93,1,New,49200.0
1,0,9304,565,24.5,L,93,1,New,29400.0
1,0,9304,565,24.5,L,93,1,New,29400.0
2,0,171,543,1.28,Cr,34,1,New,153600.0
2,0,171,543,1.28,Cr,34,1,New,153600.0
2,0,171,859,2.02,Cr,34,1,New,242400.0
2,0,171,859,2.02,Cr,34,1,New,242400.0
2,0,171,590,1.39,Cr,34,1,New,166799.99999999997
2,0,171,590,1.39,Cr,34,1,New,166799.99999999997
1,0,171,430,1.01,Cr,34,1,New,121200.0
1,0,171,430,1.01,Cr,34,1,New,121200.0
2,0,171,705,1.66,Cr,34,1,New,199200.0
2,0,171,705,1.66,Cr,34,1,New,199200.0
1,0,171,421,99.0,L,34,1,New,118800.0
1,0,171,421,99.0,L,34,1,New,118800.0
2,0,7052,610,1.56,Cr,68,1,New,187200.0
2,0,7052,610,1.56,Cr,68,1,New,187200.0
2,0,458,708,74.62,L,205,1,New,89544.0
2,0,458,691,72.81,L,205,1,New,87372.0
2,0,458,829,87.21,L,205,1,New,104652.0
2,0,458,680,71.01,L,205,1,New,85212.00000000001
2,0,458,695,73.21,L,205,1,New,87851.99999999999
2,0,458,749,79.89,L,205,1,New,95868.0
3,0,458,1014,1.06,Cr,205,1,New,127200.0
1,0,4777,461,38.0,L,140,1,New,45600.0
1,0,4777,461,38.0,L,140,1,New,45600.0
2,0,4777,608,46.0,L,140,1,New,55200.0
2,0,4777,608,46.0,L,140,1,New,55200.0
1,0,1848,431,1.35,Cr,147,1,New,162000.0
1,0,1848,431,1.35,Cr,147,1,New,162000.0
1,0,4774,454,63.0,L,72,1,New,75600.0
1,0,4774,454,63.0,L,72,1,New,75600.0
1,0,4776,490,58.0,L,72,1,New,69600.0
1,0,4776,490,58.0,L,72,1,New,69600.0
